component_id_before_filter,centroid_t,centroid_z,centroid_y,centroid_x,rounded_t,rounded_z,rounded_y,rounded_x,voxel_count,mean_probability,weighted_probability,was_first_component_filter_exception,marker_z_start,marker_z_stop,marker_y_start,marker_y_stop,marker_x_start,marker_x_stop,expected_marker_voxels,saved_pred_dominant_label,saved_pred_dominant_voxels,saved_fp_voxels_in_expected_box,render_visible,classification_from_saved_render
66,8.007882705344475,4.601765725997162,527.5765410688948,817.4119501813022,8,5,528,817,6343,0.9694765329398549,0.9557673433075787,False,1,9,524,532,813,821,512,86,512,0,True,matched
67,8.0,4.325378346915017,439.4121071012806,833.488358556461,8,4,439,833,5154,0.9756990550422002,0.7815926624488438,False,0,8,435,443,829,837,512,35,512,0,True,matched
68,8.0,4.368421052631579,538.3011909335382,922.45063388398,8,4,538,922,7809,0.9837102021705724,1.1939407449073516,False,0,8,534,542,918,926,512,65,512,0,True,matched
69,8.0,4.457357859531773,473.40677257525084,1001.2002508361204,8,4,473,1001,7176,0.9695479479123119,1.081363973296395,False,0,8,469,477,997,1005,512,87,512,0,True,matched
74,9.0,4.4796573875803,659.6729122055674,824.2055674518201,9,4,660,824,5604,0.9711793821935225,0.8458975274466798,False,0,8,656,664,820,828,512,80,512,0,True,matched
75,10.135402906208718,4.321532364597094,550.7957727873184,113.8665785997358,10,4,551,114,7570,0.9754440327774109,1.1476736505976115,False,0,8,547,555,110,118,512,39,512,0,True,matched
76,10.901081168307245,4.261900919799904,477.9307729546555,345.1631434565112,11,4,478,345,6197,0.9808887175750363,0.9447598104411862,False,0,8,474,482,341,349,512,60,512,0,True,matched
77,10.0,4.5263691683569975,455.02180527383365,395.92038539553755,10,5,455,396,5916,0.968421920559711,0.890456998572926,False,1,9,451,459,392,400,512,2,512,0,True,matched
78,10.999238820171266,4.337583254043768,316.05023786869646,409.07573739295907,11,4,316,409,5255,0.9794045663356328,0.7999355908108577,False,0,8,312,320,405,413,512,31,512,0,True,matched
79,10.969661057122542,4.343683337283717,409.62147428300545,533.7309789049538,11,4,410,534,4219,0.9645538366244963,0.6324936550899767,False,0,8,406,414,530,538,512,14,512,0,True,matched
80,10.951568992692362,4.317667287577017,237.06061040263648,586.6301762430147,11,4,237,587,6979,0.9783659712396117,1.0612426913474822,False,0,8,233,241,583,591,512,79,512,0,True,matched
81,10.0,4.572144288577154,299.15931863727457,690.8306613226453,10,5,299,691,5988,0.9645438337612725,0.8976849324256059,False,1,9,295,303,687,695,512,53,512,0,True,matched
82,10.996856581532416,3.852259332023576,70.75284872298624,690.7795677799608,11,4,71,691,2545,0.9346223062991159,0.3696954483665476,False,0,8,67,75,687,695,512,30,512,0,True,matched
86,11.0,4.519354838709678,316.87137096774194,124.3625,11,5,317,124,7440,0.9727755638860887,1.124878880825574,False,1,9,313,321,120,128,512,1,512,512,True,false_positive
87,11.0,4.46747149564051,619.5425888665326,171.06975184439972,11,4,620,171,8946,0.9864576456132629,1.3716001123896362,False,0,8,616,624,167,175,512,69,512,0,True,matched
91,11.977293098296983,4.485360023902002,710.5460113534508,719.6650731998805,12,4,711,720,6694,0.9803375982689723,1.0199562468715062,False,0,8,707,715,716,724,512,56,512,0,True,matched
94,12.0,4.524054180289585,401.89817842129844,110.39420831387203,12,5,402,110,6423,0.9738526644967305,0.9721904572758836,False,1,9,398,406,106,114,512,51,512,0,True,matched
95,12.0,4.408333333333333,338.5829166666667,175.46875,12,4,339,175,7200,0.9834315999348958,1.1005171897669448,False,0,8,335,343,171,179,512,91,512,0,True,matched
96,12.0,4.380124223602484,409.9159420289855,215.75403726708075,12,4,410,216,7245,0.9794675207039337,1.1029316616385443,False,0,8,406,414,212,220,512,44,512,0,True,matched
97,12.257481539059464,4.032063738826273,521.2955693742713,316.74018655266224,12,4,521,317,5146,0.9667045513202002,0.7731855343814567,False,0,8,517,525,313,321,512,41,512,0,True,matched
99,12.98530087276068,4.396263971826673,650.4359209921911,426.3304241310672,13,4,650,426,6531,0.9820539631899786,0.9968623907048129,False,0,8,646,654,422,430,512,21,512,0,True,matched
100,12.971946308724831,4.1394630872483225,294.14362416107383,442.21208053691277,13,4,294,442,7450,0.9695684118078859,1.1226772072921158,False,0,8,290,298,438,446,512,64,512,0,True,matched
102,12.0,4.638229927007299,280.1140510948905,932.231295620438,12,5,280,932,6576,0.9791215214416058,1.0007338178173668,False,1,9,276,284,928,936,512,27,512,0,True,matched
104,13.542817679558011,4.649171270718232,140.90124309392266,58.722375690607734,14,5,141,59,4344,0.9550970088052486,0.6448481771516865,False,1,9,137,145,55,63,512,96,512,0,True,matched
105,13.233187772925763,4.695487627365357,36.90538573508006,561.2914119359534,13,5,37,561,3435,0.9221870166939592,0.492340905396983,False,1,9,33,41,557,565,512,29,512,0,True,matched
106,13.0,4.413091309130913,393.4961496149615,657.974697469747,13,4,393,658,5454,0.9778538400715071,0.8289135790565262,False,0,8,389,397,654,662,512,111,512,0,True,matched
107,13.0,4.25763358778626,109.32824427480917,672.6564885496183,13,4,109,673,3144,0.9608107705152672,0.46950538216289783,False,0,8,105,113,669,677,512,45,512,0,True,matched
108,13.0,4.606217616580311,457.5548751766368,777.156382477626,13,5,458,777,6369,0.9794514782295102,0.9695592407346224,False,1,9,454,462,773,781,512,74,512,0,True,matched
109,13.349648711943795,4.856674473067915,575.4566744730679,938.3381733021077,13,5,575,938,4270,0.9538734310963115,0.6330511503082312,False,1,9,571,579,934,942,512,98,512,0,True,matched
110,14.0,4.539644401729937,688.6540124939933,248.96395963479097,14,5,689,249,6243,0.969429745690173,0.9406538801671284,False,1,9,685,693,245,253,512,75,512,0,True,matched
111,14.863252673044457,4.250797223785406,101.01857062464828,243.31588820108797,15,4,101,243,5331,0.9659081500011724,0.8003218759539173,False,0,8,97,105,239,247,512,47,512,0,True,matched
113,14.950397753860551,4.404149118702231,436.21790672282015,262.6499766027141,15,4,436,263,6411,0.9752280473746295,0.9717445977050634,False,0,8,432,440,259,267,512,19,512,0,True,matched
114,14.334292289988493,4.616800920598389,287.56290755657847,322.5381664748753,14,5,288,323,5214,0.952525371146193,0.7719119317742216,False,1,9,284,292,319,327,512,107,512,0,True,matched
115,14.0,4.528077753779698,262.67116630669545,388.7300215982721,14,5,263,389,5556,0.9838745908139849,0.8496149717389454,False,1,9,259,267,385,393,512,42,512,0,True,matched
118,14.0,4.456568249893025,349.4458707744972,652.6688061617458,14,4,349,653,7011,0.9816415025272786,1.0696779749724479,False,0,8,345,353,649,657,512,37,512,0,True,matched
119,14.0,4.465116279069767,12.060144346431436,900.8484362469928,14,4,12,901,3741,0.9718198676824379,0.5650588179594869,False,0,8,8,16,897,905,512,10,512,0,True,matched
120,14.999657651489215,4.2998972954467645,625.2577884286203,1003.6249572064362,15,4,625,1004,5842,0.9848195682931787,0.8942076831191523,False,0,8,621,629,1000,1008,512,58,512,0,True,matched
121,15.0,4.254761904761905,396.1386904761905,34.28928571428571,15,4,396,34,5040,0.9741905575706845,0.7631231479142123,False,0,8,392,400,30,38,512,108,512,0,True,matched
122,15.0,4.441355573206248,253.57903097696584,70.5705586444268,15,4,254,71,11331,0.9802665599351337,1.7263649190125177,False,0,8,250,258,67,75,512,113,512,0,True,matched
124,15.387308893638007,4.4423804044057205,241.09699161597896,357.2035180009864,15,4,241,357,6083,0.9709436133486766,0.9179774244497138,False,0,8,237,245,353,361,512,68,512,0,True,matched
127,15.993970893970895,4.425571725571726,184.3049896049896,566.2810810810811,16,4,184,566,4810,0.9771875203027547,0.7305385921138048,False,0,8,180,188,562,570,512,22,512,0,True,matched
128,16.0,4.439979654120041,788.7568667344863,52.341302136317395,16,4,789,52,5898,0.9815004490399288,0.8997367212522777,False,0,8,785,793,48,56,512,38,512,0,True,matched
129,16.0,4.350947731188972,151.04824813325675,527.2768523836876,16,4,151,527,5223,0.980257282991097,0.7957566534036715,False,0,8,147,155,523,531,512,99,512,0,True,matched
130,16.0,4.460284280936455,418.3252508361204,700.6145484949833,16,4,418,701,7176,0.9834317108460493,1.0968489228367033,False,0,8,414,422,697,705,512,34,512,0,True,matched
133,17.997975708502025,4.249493927125506,341.5136639676113,721.7631578947369,18,4,342,722,5928,0.9811010939872217,0.9039452561458672,False,0,8,338,346,718,726,512,71,512,0,True,matched
135,16.316257465162575,4.400265428002654,202.9917717319177,805.4015925680159,16,4,203,805,7535,0.9754241275091241,1.1423440539882506,False,0,8,199,207,801,809,512,55,512,0,True,matched
138,17.0,4.406346749226006,81.50464396284829,80.00386996904025,17,4,82,80,3876,0.9670772965847523,0.582592824250799,False,0,8,78,86,76,84,512,62,512,0,True,matched
139,17.0,4.423056583818085,527.878900052882,178.24801692226336,17,4,528,178,5673,0.981768595485193,0.8656495238344674,False,0,8,524,532,174,182,512,12,512,0,True,matched
142,18.27134404057481,4.37552831783601,133.99556213017752,445.4687235841082,18,4,134,445,4732,0.9480182715421598,0.697238915507297,False,0,8,130,138,441,449,512,109,512,0,True,matched
144,17.0,4.458051068264721,684.176654507556,524.1344450234498,17,4,684,524,5757,0.9775512758923919,0.8746936049874536,False,0,8,680,688,520,528,512,13,512,0,True,matched
145,17.0,4.307547169811321,684.4327044025157,581.0805031446541,17,4,684,581,4770,0.9777994791666667,0.724917118753912,False,0,8,680,688,577,585,512,52,512,0,True,matched
146,17.367415920229845,4.773871894541153,252.0976846374852,614.46915666723,17,5,252,614,5917,0.9609886634907893,0.8837715335223267,False,1,9,248,256,610,618,512,54,512,0,True,matched
147,17.0,4.460185637518319,599.0415241817294,970.7552515876893,17,4,599,971,6141,0.9824564625824377,0.9377187202078016,False,0,8,595,603,967,975,512,23,512,0,True,matched
148,18.0,2.7570543702684103,926.1947694425327,16.382656572608397,18,3,926,16,4359,0.9439481353234687,0.6395215402909659,False,9,7,922,930,12,20,0,0,0,0,False,not_rendered
154,18.0,4.227043781480046,243.01123595505618,218.34405269275476,18,4,243,218,7743,0.9809961921251453,1.1805836269664747,False,0,8,239,247,214,222,512,61,512,0,True,matched
155,18.0,4.571129707112971,199.78399581589957,348.75366108786613,18,5,200,349,5736,0.9706364715448483,0.8653382948812871,False,1,9,196,204,345,353,512,73,512,0,True,matched
157,18.973650927487352,4.187816188870152,189.9681703204047,437.1112984822934,19,4,190,437,4744,0.9724004787297112,0.7169849165068131,False,0,8,186,194,433,441,512,83,512,0,True,matched
158,18.0,4.829787234042553,113.31323877068557,484.919621749409,18,5,113,485,2538,0.9656125332446809,0.38090325755760307,False,1,9,109,117,481,489,512,72,512,0,True,matched
162,18.72567528318327,4.144496079000871,405.73816439151904,614.7602381643915,19,4,406,615,6886,0.9685063557399071,1.0365485977492457,False,0,8,402,410,611,619,512,63,512,0,True,matched
164,18.0,4.350505050505051,579.39898989899,669.3944444444444,18,4,579,669,5940,0.9763506648516415,0.9013893993584484,False,0,8,575,583,665,673,512,25,512,0,True,matched
168,19.0,4.134020618556701,513.2491408934708,10.63573883161512,19,4,513,11,1746,0.9296925338273195,0.252292161524097,False,0,8,509,517,7,15,512,105,512,0,True,matched
169,19.0,4.365882352941177,477.8982352941176,27.004117647058823,19,4,478,27,5100,0.9778762637867647,0.775129482110233,False,0,8,474,482,23,31,512,57,512,0,True,matched
170,19.0,4.2890442890442895,841.2960372960373,42.11188811188811,19,4,841,42,1287,0.9383866459061772,0.1877070310973181,False,0,8,837,845,38,46,512,92,512,0,True,matched
171,19.213723451656023,4.390316352294668,484.2922916976088,146.06178523689292,19,4,484,146,6733,0.9667901305835066,1.0117215431351665,False,0,8,480,488,142,150,512,36,512,0,True,matched
173,19.29928952042629,4.798401420959148,201.74541148608645,156.1341030195382,19,5,202,156,3378,0.9370172115526939,0.49195727643860065,False,1,9,198,206,152,160,512,66,512,0,True,matched
174,19.479155086158976,4.364924958310172,94.90327959977765,217.37854363535297,19,4,95,217,3598,0.9692688157917593,0.5420328083385492,False,0,8,91,99,213,221,512,5,512,0,True,matched
175,19.0,4.283599088838269,142.09453302961276,259.9498861047836,19,4,142,260,2634,0.9578376370301822,0.39212799043960206,False,0,8,138,146,256,264,512,1,512,512,True,false_positive
176,19.101461206009468,4.292858612883309,635.2702202099198,339.7797900802634,19,4,635,340,4859,0.9683394980641593,0.7312985644954549,False,0,8,631,639,336,344,512,11,512,0,True,matched
177,19.0,4.70633893919793,299.6226821905994,397.8283742992669,19,5,300,398,6957,0.9753014752452566,1.0545837122526645,False,1,9,296,304,394,402,512,43,512,0,True,matched
178,19.0,4.352437417654809,549.5764163372859,399.94400527009225,19,4,550,400,4554,0.9788784584980237,0.6928543894060935,False,0,8,546,554,396,404,512,24,512,0,True,matched
180,19.485338725985844,4.291877317155376,359.84192787327265,969.1265588136165,19,4,360,969,5934,0.9783923615499663,0.9023619424052675,False,0,8,356,364,965,973,512,28,512,0,True,matched
183,19.5,4.44741641337386,466.32887537993923,79.25592705167173,20,4,466,79,3290,0.9705832066869301,0.4963052230822492,False,0,8,462,470,75,83,512,15,512,0,True,matched
184,19.5,4.440692640692641,733.9038961038962,120.80995670995671,20,4,734,121,4620,0.9768144615800866,0.7014136789099903,False,0,8,730,738,117,125,512,94,512,0,True,matched
185,19.5,4.451229855810008,726.4045801526718,170.23240033927055,20,4,726,170,4716,0.9848009518792409,0.7218424711535354,False,0,8,722,730,166,174,512,4,512,0,True,matched
189,19.5,4.542411737734984,562.8028427326914,461.2640990371389,20,5,563,461,4362,0.9711020783184319,0.6583710410164224,False,1,9,559,567,457,465,512,9,512,0,True,matched
191,19.5,4.395374449339207,508.034140969163,504.77129221732747,20,4,508,505,5448,0.9781906419213473,0.828286871254682,False,0,8,504,512,501,509,512,8,512,0,True,matched
192,19.5,4.723833543505675,136.80327868852459,607.327868852459,20,5,137,607,1586,0.9241230641156999,0.2277997102883575,False,1,9,133,141,603,611,512,1,512,512,True,false_positive
193,19.5,4.299735749339374,576.9335598338996,724.9048697621744,20,4,577,725,5298,0.9752937797871838,0.8030962229037857,False,0,8,573,581,721,729,512,6,512,0,True,matched
194,19.5,4.505611972207376,169.55638695884554,766.5553180117585,20,5,170,767,3742,0.9738366327331641,0.5663828121845985,False,1,9,166,174,763,771,512,1,512,512,True,false_positive
196,19.5,4.562923523717328,123.45111326234269,854.3417231364956,20,5,123,854,4132,0.9805975560412633,0.6297545215598293,False,1,9,119,127,850,858,512,1,512,512,True,false_positive
197,19.5,4.592069527430744,678.6844106463878,910.073329712113,20,5,679,910,3682,0.9778130410612439,0.5595769081316346,False,1,9,675,683,906,914,512,3,512,0,True,matched
