center_x,center_y,center_z,eligible_three_frame_input,even_label,file,frame,length_voxels,odd_label
81.5,67.5,6.5,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,3,27.184554438136374,5
57.5,42.0,28.0,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,4,21.18962010041709,7
25.5,82.0,11.5,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,5,25.495097567963924,9
72.0,66.5,14.5,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,5,16.30950643030009,11
22.5,35.0,8.0,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,8,19.519221295943137,13
37.0,88.30845771144278,12.0,True,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,8,16.298902309044927,15
57.5,7.275862068965517,1.0795019157088124,True,34,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,9,17.322393423735917,33
18.5,87.5,27.0,True,18,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,11,21.02379604162864,17
12.5,68.0,23.5,True,20,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,11,11.224972160321824,19
88.5,80.5,32.5,True,22,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,12,25.03996805109783,21
83.0,11.5,3.223605214051978,True,24,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,13,17.78777716588976,23
68.5,76.5,19.5,True,26,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,14,5.916079783099616,25
60.0,62.5,1.8349282296650717,True,28,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,17,17.804493814764857,27
81.0,35.0,31.0,True,30,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,17,20.97617696340303,29
92.0,65.0,3.1190232526101376,True,32,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,17,18.449140041237655,31
78.0,67.0,22.0,True,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,3,19.79898987322333,1
92.04787234042553,25.0,26.5,True,48,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,3,12.919909467985164,47
15.5,30.5,25.5,True,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,4,23.043437243605826,3
79.5,45.0,16.5,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,6,19.949937343260004,5
81.0,26.5,0.9717314487632509,True,46,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,6,26.019223662515376,45
93.5,51.5,24.5,True,50,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,6,29.58039891549808,49
32.5,36.0,1.220076250697415,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,8,24.84445009579787,7
40.5,80.0,19.0,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,8,18.466185312619388,9
75.5,94.0,26.0,True,52,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,8,24.351591323771842,51
77.5,81.0,8.5,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,9,16.431676725154983,11
46.0,19.0,6.5,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,10,25.475478405713993,13
78.0,61.0,8.0,True,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,10,20.493901531919196,15
44.0,42.0,23.5,True,18,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,11,17.11724276862369,17
42.5,52.0,11.0,True,20,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,11,15.524174696260024,19
34.0,13.5,20.5,True,22,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,12,26.267851073127396,21
14.5,46.5,26.0,True,24,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,12,23.366642891095847,23
84.0,56.5,29.5,True,26,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,14,7.3484692283495345,25
40.0,52.5,0.9717314487632509,True,28,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,15,35.0,27
38.5,95.2920353982301,22.0,True,54,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,15,13.254335965302765,53
20.0,17.5,1.2657894736842106,True,30,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,16,19.73024521330856,29
32.0,67.5,26.0,True,32,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,17,26.248809496813376,31
13.55841121495327,83.5,20.5,True,34,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,17,19.353924541128105,33
42.5,20.0,0.6930379746835443,True,36,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,17,27.520481513591754,35
12.05841121495327,9.984848484848484,11.0,True,38,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,18,24.028465558326328,37
75.5,70.0,28.0,True,40,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,19,15.394804318340652,39
43.5,44.5,12.0,True,42,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,19,22.847319317591726,41
38.5,41.0,16.5,True,44,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/14.tif,20,23.280893453645632,43
26.0,39.0,4.0,True,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/2.tif,3,12.649110640673518,3
40.0,47.0,14.5,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/2.tif,3,16.0312195418814,5
87.80666666666667,77.5,13.5,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/2.tif,3,20.849049005756697,11
80.5,83.0,2.0,True,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/2.tif,4,16.522711641858304,1
67.0,69.0,7.5,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/2.tif,7,16.76305461424021,13
40.0,8.63586956521739,22.0,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/2.tif,8,23.752526977296192,9
60.5,42.0,3.0,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/2.tif,9,18.894443627691185,7
62.0,30.5,0.0,False,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,1,16.401219466856727,1
77.0,74.0,12.5,False,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,1,17.804493814764857,3
93.0,30.0,18.5,False,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,1,20.615528128088304,5
11.75,14.0,20.5,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,3,17.585505395068974,7
87.0,41.0,5.4072847682119205,True,26,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,4,12.762785318753256,25
68.5,76.0,23.5,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,5,22.22611077089287,13
25.5,43.0,5.0,True,18,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,5,23.345235059857504,17
33.0,55.5,21.0,True,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,6,13.152946437965905,15
49.0,34.5,7.5,True,20,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,7,12.24744871391589,19
38.5,12.5,7.5,True,22,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,7,18.411952639521967,21
18.5,78.13586956521739,21.5,True,24,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,8,24.448435861380847,23
90.0952380952381,50.0,1.0,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,9,17.26648543492208,9
16.5,11.132352941176471,24.0,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/3.tif,9,18.426629030819672,11
53.0,91.14035087719299,2.0,True,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/4.tif,2,17.823939759846432,1
8.5,67.0,7.5,True,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/4.tif,2,10.862780491200215,3
21.5,37.5,4.5,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/4.tif,5,17.97220075561143,5
39.0,48.5,16.0,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/4.tif,5,21.470910553583888,7
83.68823529411765,62.0,4.0,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/4.tif,7,24.707476139068305,11
19.5,65.5,12.0,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/4.tif,7,21.307275752662516,13
94.7920353982301,55.0,17.0,True,22,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/4.tif,7,9.63564027317535,21
96.30666666666667,33.0,16.5,True,18,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/4.tif,8,28.2812572406375,17
8.15625,25.0,11.0,True,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/4.tif,9,11.395071577221444,15
13.25,53.0,21.5,True,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,2,8.440971508067067,1
16.75,73.0,5.0,True,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,2,27.13392710243027,3
30.0,83.84375,0.0,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,2,24.022856954367438,5
33.5,19.0,24.0,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,4,22.02271554554524,7
16.0,88.0,12.0,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,4,8.94427190999916,9
35.5,28.0,13.5,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,4,20.54263858417414,11
89.0,60.0,0.5,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,4,20.024984394500787,13
73.0,16.0,0.0,True,18,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,4,11.661903789690601,17
47.0,21.5,21.0,True,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,5,17.0,15
21.0,53.0,20.5,True,20,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,6,12.36931687685298,19
17.13586956521739,30.0,10.0,True,22,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,8,26.114046170067187,21
81.5,55.5,21.0,True,26,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,8,9.273618495495704,25
19.5,52.5,21.5,True,28,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,8,11.445523142259598,27
3.0158991228070176,47.5,3.0,True,24,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,9,11.719722194719745,23
13.5,22.5,25.0,True,30,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/5.tif,9,17.146428199482248,29
16.0,89.97368421052632,6.0,False,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/6.tif,1,12.113612681127195,1
73.5,16.5,10.0,False,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/6.tif,1,23.021728866442675,3
56.5,61.5,19.5,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/6.tif,2,12.449899597988733,5
80.0,45.5,7.5,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/6.tif,2,24.372115213907882,7
34.0,89.71538461538461,30.5,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/6.tif,3,21.10415982999981,9
10.5,87.5,8.0,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/6.tif,7,10.488088481701515,11
53.0,17.0,33.5,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/6.tif,8,21.748563170931547,13
17.0,60.5,30.5,True,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/6.tif,8,18.708286933869708,15
49.5,92.0,13.0,True,18,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/6.tif,9,17.11724276862369,17
12.505398110661268,85.49460188933872,20.0,False,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,1,17.489158883746217,1
48.5,42.0,19.0,True,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,2,16.278820596099706,3
29.0,25.0,5.0,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,3,16.0,5
32.0,84.5,3.7404129793510323,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,4,24.31761168063898,7
84.0,20.0,30.0,True,28,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,7,13.564659966250536,27
28.75,41.5,3.920588235294118,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,8,20.097525196678866,9
53.5,12.0,13.5,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,9,11.045361017187261,11
71.5,12.5,2.3247488830444563,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,10,13.075155719528086,13
74.70036764705883,38.0,28.939338235294116,True,30,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,10,8.296367876332768,29
36.0,40.5,12.5,True,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,11,18.275666882497067,15
52.0,42.0,29.788261515601782,True,18,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,12,18.351880475655065,17
83.5,37.5,12.5,True,20,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,13,22.693611435820433,19
32.20392156862745,89.68235294117648,1.5775665724805206,True,22,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,13,24.900690391211263,21
76.5,89.78826151560179,20.0,True,24,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,15,15.843480851504399,23
89.0,12.407258064516128,25.0,True,26,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/7.tif,15,21.37345846715113,25
39.5,23.0,31.5,False,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,1,25.96150997149434,1
52.0,50.0,20.5,False,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,1,17.233687939614086,3
88.5,8.452127659574469,19.5,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,2,13.472138981840967,5
72.0,49.5,3.7404129793510323,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,4,24.31761168063898,7
9.559808612440191,86.9401913875598,27.5,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,4,19.888923711891383,9
28.5,91.0,12.5,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,5,15.297058540778355,11
47.0,73.0,7.0,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,5,18.439088914585774,13
15.5,33.0,15.5,True,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,6,20.248456731316587,15
6.650485436893204,13.0,11.0,True,18,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,6,16.48250914571906,17
7.0,89.5,9.5,True,20,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,8,13.638181696985855,19
35.0,77.5,23.5,True,22,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,8,17.26267650163207,21
63.5,77.0,7.5,True,38,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,10,13.92838827718412,37
45.5,63.5,3.1479591836734695,True,24,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,13,18.180664104261155,23
74.5,55.5,1.5,True,26,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,13,21.61018278497431,25
17.5,48.0,32.18543046357616,True,28,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,14,22.47220505424423,27
13.689226519337016,92.74832214765101,31.853300703276602,True,30,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,14,23.625062349334847,29
36.5,15.5,28.0,True,32,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,15,24.698178070456937,31
76.5,80.5,29.59271523178808,True,34,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,18,11.527735644634799,33
24.5,84.5,24.0,True,36,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/8.tif,19,13.341664064126334,35
42.5,22.0,1.5310344827586206,True,26,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,4,17.46424919657298,25
26.5,53.0,9.0,True,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,6,20.42057785666214,1
69.5,42.5,11.0,True,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,6,23.194827009486403,3
70.0,47.5,0.6930379746835443,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,6,25.56123828651393,5
28.0,48.0,25.5,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,7,23.345235059857504,7
81.5,14.0,22.5,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,9,14.352700094407323,9
22.0,15.0,11.0,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,10,22.360679774997898,11
77.5,70.0,18.0,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,11,16.522711641858304,13
63.0,89.0,32.5,True,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,12,14.177446878757825,15
36.0,80.5,15.0,True,18,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,14,22.02271554554524,17
64.0,18.0,1.1930379746835442,True,20,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,14,17.047133214743507,19
39.5,75.5,8.0,True,22,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,19,19.544820285692065,21
40.5,9.0,19.5,True,24,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/9.tif,20,11.045361017187261,23
262.5,198.0,38.0,False,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,12.68857754044952,1
106.5,109.5,57.5,False,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,9.1104335791443,3
167.0,142.5,56.0,False,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,17.46424919657298,5
97.5,145.0,75.0,False,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,17.11724276862369,7
85.5,135.5,85.0,False,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,18.16590212458495,9
226.0,65.0,88.0,False,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,15.620499351813308,11
214.0,138.5,81.5,False,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,18.275666882497067,13
78.5,145.5,140.5,False,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,19.261360284258224,15
131.0,112.5,141.5,False,18,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,20.149441679609886,17
160.5,129.0,60.5,False,20,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,17.378147196982766,19
97.5,215.5,66.5,False,22,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,13.379088160259652,21
196.55913978494624,90.0,43.0,False,24,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,14.269412762769479,23
91.5,112.0,46.5,False,26,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,14.352700094407323,25
135.5,109.0,71.0,False,28,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,15.905973720586866,27
45.0,192.0,78.5,False,30,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,16.278820596099706,29
99.0,230.5,73.5,False,32,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,11.575836902790225,31
112.5,232.0,77.5,False,34,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,14.491376746189438,33
91.5,105.5,142.0,False,36,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,16.30950643030009,35
103.0,131.5,38.5,False,38,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,16.673332000533065,37
298.0,69.5,62.5,False,40,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,12.569805089976535,39
275.0,115.0,35.5,False,42,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,16.76305461424021,41
211.0,78.5,65.0,False,44,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,10.63014581273465,43
168.5,186.0,43.0,False,46,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,17.804493814764857,45
252.5,233.0,67.5,False,48,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,13.92838827718412,47
46.0,178.5,141.5,False,50,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,18.05547008526779,49
23.5,192.5,129.5,False,52,DARE3d_data_190326/Gastruloid_241025/trainingset/movie2/label/movie2.tif,1,18.411952639521967,51
